_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
77,22354,57083,indian institute science education research kolkata,mohanpur,West Bengal,india,http://www.iiserkol.ac.in/,indian institute management indore,indore,madhya pradesh,india,iimidr
78,22354,53601,indian institute science education research kolkata,mohanpur,West Bengal,india,http://www.iiserkol.ac.in/,indian institute management calcutta,kolkata,west bengal,india,iimcal
79,17619,57575,university tijuana,tijuana,Baja California,mexico,http://cut.edu.mx,university autonoma de. baja california,tijuana,,mexico,yahoo
80,6790,57513,griffith university,southport,Queensland,australia,http://www.griffith.edu.au,deakin university,melbourne,victoria,australia,deakin
81,6790,57992,griffith university,southport,Queensland,australia,http://www.griffith.edu.au,griffith university,nathan,qld,australia,griffith
82,6790,56196,griffith university,southport,Queensland,australia,http://www.griffith.edu.au,griffith university,brisbane,qld,australia,griffithuni
83,22628,54257,stockholm university arts,stockholm,,sweden,http://www.uniarts.se,lund university,lund,,sweden,lu
84,17658,57575,university gulf,tampico,Tamaulipas,mexico,http://www.unigolfo.edu.mx,university autonoma de. baja california,tijuana,,mexico,yahoo
85,867,22172,klagenfurt university,klagenfurt,Carinthia,austria,http://www.uni-klu.ac.at,alpen adria university klagenfurt austria,klagenfurt,,austria,aau
86,6832,53646,guangdong pharmaceutical university,guangzhou,Guangdong Province,china,http://www.at0086.com/GZPU/College.aspx?c=626,nanjing university,nanjing,,china,nju
87,6832,57559,guangdong pharmaceutical university,guangzhou,Guangdong Province,china,http://www.at0086.com/GZPU/College.aspx?c=626,tsinghua university,beijing,,china,gmail
88,6832,35953,guangdong pharmaceutical university,guangzhou,Guangdong Province,china,http://www.at0086.com/GZPU/College.aspx?c=626,xiamen university,xiamen,,china,gmail
89,22840,1715,pacific coast university workplace health sciences,port alberni, British Columbia ,canada,http://www.pcu-whs.ca/,york university,toronto,on,canada,yorku
90,22840,35077,pacific coast university workplace health sciences,port alberni, British Columbia ,canada,http://www.pcu-whs.ca/,brock university,dundas,on,canada,brocku
91,12199,1715,mount royal university,calgary, Alberta,canada,http://www.mtroyal.ca/,york university,toronto,on,canada,yorku
92,12199,35077,mount royal university,calgary, Alberta,canada,http://www.mtroyal.ca/,brock university,dundas,on,canada,brocku
93,12199,56451,mount royal university,calgary, Alberta,canada,http://www.mtroyal.ca/,queen s university,kingston,on,canada,gmail
94,890,5332,ambrose university,calgary, Alberta,canada,http://www.ambrose.edu/,simon fraser university,vancouver,bc,canada,sfu
95,890,1715,ambrose university,calgary, Alberta,canada,http://www.ambrose.edu/,york university,toronto,on,canada,yorku
96,890,35077,ambrose university,calgary, Alberta,canada,http://www.ambrose.edu/,brock university,dundas,on,canada,brocku
97,890,56451,ambrose university,calgary, Alberta,canada,http://www.ambrose.edu/,queen s university,kingston,on,canada,gmail
